2,74,"Intell Engineering College,Anantapur 515004",ATP
1,00,"JNTUA College of Engineering,Anantapur 515002",ATP
3,2G,Anantha  Lakshmi  Institute of  Technology  & Sciences Anantapur,ATP
15,2R,"Chiranjeevi Reddy Institute of Engineering & Technology, Ananthapuramu.",ATP
4,3N,P.V.K.K institute of Technology Anantapur,ATP
16,4D,"Shri Sai Institute of Engineering & Technology, Ananthapuramu.",ATP
5,4G,"Srinivasa Ramanujan Institute of Technology, Rotarypuram (V), Anantapur",ATP
6,4H,"Sri Sai College of Engineering & Technology,Loluru (V), Anantapur",ATP
7,9A,"Shri Shirdi Sai Institute of Science & Engineering, Podaralla, Anantapur.",ATP
13,9B,"Sir C.V.Raman Institute of Technology & Sciences, Anantapur Road, Tadipatri ",ATP
8,9F,"Sri Venkateswara Institute of Technology,Hampapuram (V), Anantapur",ATP
17,9U,"Sri Srinivasa Institute of Management,Ravivenkatam Palli (V), 
Tadipatri-515 411, Ananthapuramu Dist.",ATP
9,F2,"Gates Institute  of Technology,Gooty,Anantapur Dist",ATP
10,F3,"BIT  Institute of Technology,Hindupur,Anantapur Dist.",ATP
11,F5,"Intellectual Institute of Tech.(Moula Ali ),Bellary Road,Anantapur",ATP
12,G8,"Sri Krishna Devaraya Engineering College,Gooty,Anantapur Dist",ATP
14,HU,"Tadipatri Engineering College, Veerapuram (V), Tadipatri",ATP
18,HX,"Sanskrithi School of Business,Behind Super Speciality Hospital, 
Beedupalli Road, Prasanthi Gram, Puttaparthi-515134, Ananthapuramu Dist. ",ATP
19,HY,"Sree Vyshnavi MBA College,Near Kalwa Gadda Anjaneya Swamy Temple, 
Gooty, Ananthapuramu Dist-515 401. ",ATP
22,JF,"St.Mark Educational Institution Society Group of Institution,Anantapur",ATP
20,JX,"Sri Balaji P.G. College (MCA),Rudrampeta, Alamuru (P),  Ananthapuramu Dist.-515 002.",ATP
21,JY,"Sri Balaji P.G. College (MBA),Rudrampeta, Alamuru (P), Ananthapuramu Dist.-515 001.",ATP
23,12,"Sree Vidyaniketan Engineering College,A.Rangampet, Tirupati. ",CTR
24,38,"Sri Kalahastheeswara Institute of Technology,Srikalahasthi.",CTR
25,69,"Madanapalli Inst. of Technology & Science,Madanapalli. ",CTR
26,75,"Sreenivasa Inst. of Technology & Mgmt Studies,Chittoor Dist ",CTR
27,78,"Sri Venkateswara College of Engg & Technology,RVS Nagar,Chittoor.",CTR
28,2Q,"Chadalawada Venkata Subbaiah College of Engineering, Chadalawada Nagar,Tirupati.",CTR
29,3D,"J.B.Women’s Engineering College,Daminedu (V), Tirupati.",CTR
30,3F,"K.K.C.Institute of Tech & Engineering for Women,Parameswaramangalam(V),Puttur (M) ,Chittoor.",CTR
31,3G,"KMM Institute of Technology & Science,Ramireddypally, Tirupati .",CTR
32,3P,"Priyadarshini Institute of Technology,C.Ramachadrapuram, Tirupati.",CTR
33,3U,"Seshachala Institute of Technology,Kakampalem (V),Puttur.",CTR
34,4A,"Shree Institute of Technical Education,Krishnapuram (V), Chittoor.",CTR
35,4C,"Sree Rama Engineering College,Karakambaadi Road,Tirupati.",CTR
36,4E,"Siddhartha Institute of Science & Technology,Narayanavanam Road,Puttur.",CTR
37,4J,"Swetha Institute of Technology & Science for Women, Tirupathi.",CTR
38,4M,"Vemu Institute of Technology,P.Kothakota Post,Chittoor.",CTR
39,4P,"Yogananda Institute of Technology & Science,Elamandyam (V), Tirupati.",CTR
40,8P,"Aditya College of Engg, Valasapalli Post,Chittoor Dist",CTR
41,8X,"M.J.R College of Engg. & Tech.,Diguvapokulavaripalli (V), Pulicherla (M),Chittoor Dist.",CTR
42,9E,"Sri Venkateswara Engineering College for Women,Karakambadi Road,Tirupati.",CTR
43,9L,"Siddartha Educational Academy Group of Instituions,Chinthagunta (V), Tirupati.",CTR
44,9M,"Bharath Educational Society Group of Institutions,Angallu,Kurabalakota(M) ,Chittoor.",CTR
45,AK,"Annamacharya Institute of Technology & Sciences,Mangalam Road,Tirupathi.",CTR
46,BF,"Sri Venkateswara College of Engineering,Thimminaidu Palem, Tirupati.",CTR
47,BP,"Vaishnavi Institute of Technology,Thanapalle (V),Tirupati.",CTR
48,F4,"Kuppam Engineering College,Peddabanganatham Village,Kuppam.",CTR
49,F6,"Siddharth Institute of Engg & Technology,Narayanavanam Road,Puttur.",CTR
50,G0,"Sri Venkatesa  Perumal College of Engg. & Technology,RVS Nagar,Puttur.",CTR
51,HR,"Mother Theresa Institute of Engg & Technology,Melmoi (V&Post), Palamaner,Chittoor",CTR
52,JE,"Shree Rama Educational Society Group of Institutions,Karakambadi Road, Tirupati ",CTR
53,P1,"Chadalawada Ramanamma Engg College,Renigunta Road,Tirupati",CTR
54,W5,"Sir Vishveshwaraiah Inst. of Science & Technology,Angallu, Madanapalli.",CTR
55,9J,"Vaishnavi Institute of Technology for women, Kuntrapakam (P & V), Tirupati",CTR
56,HT,"Sai Sakthi Engineering College,  Chittoor Dist.",CTR
57,KA,"JNTUA College of Engineering, Kalikiri, Chitoor Dist.",CTR
58,JA,"Seshachala Venkata Subbaiah PG College,Nagari Road, Puttur-517 583, Chittoor Dist.",CTR
59,JG,"Sri Venkateswara College of Computer  Sciences, RVS Nagar, Tirupathi Road, Chittoor-517 127.",CTR
60,KC,"MJR Institute of Business Management,Diguvapokulavari Palli (V), Pulicherla (M),
Chittoor Dist.-517113.",CTR
61,JB,"Vignanasudha Institute of Management & Technology, 
# 22-977/3, Muruganipalli Road, Kattamanchi, Chittoor-517 001.",CTR
62,19,"JNTUA College of Engineering,Pulivendula 516390 ",KDP
63,70,"Annamacharya Inst. of Technology & Sciences,Rajampet.",KDP
64,72,"Madina Engineering College,Kamalapuram Road,Kadapa.",KDP
65,2F,"Akshaya Bharathi Institute of Technology,R.S.Nagar, Siddavatam,Kadapa -516237.",KDP
66,2P,"Chaitanya Bharathi Institute of Technology,Pallavolu (V), Kadapa.",KDP
67,3A,"Global College of Engineering & Technology,Chinnamachupalli (V),Kadapa.",KDP
68,3H,"Kandula Lakshumma Memorial College of Engineering for Women,Thadigotla (V), Kadapa",KDP
69,3M,"Modugula Kalavathamma Institute of Technology for Women,New Boyanapalli, Rajampet",KDP
70,3Q,"Rajoli Veera Reddy Padmaja Engineering College for Women,Tadigotla(V), Kadapa",KDP
71,5K,"Bharath College of Engineering & Technology for Women,Buggletipally (V&P), Kadapa",KDP
